Project ID,Project Name,Project Status,Project Startdate,Project Enddate,Project URL,GitHub Link
quickstep,Quickstep,2,3/29/2016,12/1/2018,http://incubator.apache.org/projects/quickstep.html,https://github.com/apache/incubator-retired-quickstep
ripple,Ripple,2,10/16/2012,12/6/2015,http://incubator.apache.org/projects/ripple.html,https://github.com/apache/incubator-retired-ripple
s2graph,S2Graph,2,11/29/2015,11/29/2020,http://incubator.apache.org/projects/s2graph.html,https://github.com/apache/incubator-s2graph
s4,S4,2,9/26/2011,6/19/2014,http://incubator.apache.org/projects/s4.html,https://github.com/apache/incubator-retired-s4
samoa,SAMOA,2,12/15/2014,3/11/2021,http://incubator.apache.org/projects/samoa.html,https://github.com/apache/incubator-samoa
sirona,Sirona,2,10/15/2013,7/3/2017,http://incubator.apache.org/projects/sirona.html,https://github.com/apache/Sirona
slider,Slider,2,4/29/2014,5/24/2018,http://incubator.apache.org/projects/slider.html,https://github.com/apache/incubator-retired-slider
tamaya,Tamaya,2,11/14/2014,4/30/2020,http://incubator.apache.org/projects/tamaya.html,https://github.com/apache/incubator-retired-tamaya
tashi,Tashi,2,9/4/2008,10/2/2012,http://incubator.apache.org/projects/tashi.html,https://github.com/apache/Tashi
wave,Wave,2,12/4/2010,1/15/2018,http://incubator.apache.org/projects/wave.html,https://github.com/apache/incubator-retired-wave
weex,Weex,2,11/30/2016,5/12/2021,http://incubator.apache.org/projects/weex.html,https://github.com/apache/incubator-weex
zipkin,Zipkin,2,8/29/2018,6/19/2019,http://incubator.apache.org/projects/zipkin.html,https://github.com/apache/Zipkin
